DMC Code,Color Name,HEX,R,G,B,RGB
B5200,Snow White,#FCFCFF,252,252,255,"252, 252, 255"
Blanc,White,#EEEEEE,238,238,238,"238, 238, 238"
Ecru,Ecru/off-white,#FFF7E7,255,247,231,"255, 247, 231"
White,White,#FFFFFF,255,255,255,"255, 255, 255"
150,Red - BRIGHT,#CF0053,207,0,83,"207, 0, 83"
151,Pink,#FFCBD7,255,203,215,"255, 203, 215"
152,Tawny - DK,#E1A1A1,225,161,161,"225, 161, 161"
153,Lilac,#EAC5EB,234,197,235,"234, 197, 235"
154,Red - VY DK,#4B233A,75,35,58,"75, 35, 58"
155,Forget-me-not Blue,#9774B6,151,116,182,"151, 116, 182"
156,Blue - MED,#8577B4,133,119,180,"133, 119, 180"
157,Blue - LT,#B5B8EA,181,184,234,"181, 184, 234"
158,Blue - DK,#393068,57,48,104,"57, 48, 104"
159,Petrol Blue - LT,#BCB5DE,188,181,222,"188, 181, 222"
160,Petrol Blue - MED,#8178A9,129,120,169,"129, 120, 169"
161,Petrol Blue - DK,#60568B,96,86,139,"96, 86, 139"
162,Baby Blue - LT,#CAE7F0,202,231,240,"202, 231, 240"
163,Green,#557A60,85,122,96,"85, 122, 96"
164,Green - LT,#BAE4B6,186,228,182,"186, 228, 182"
165,Green - BRIGHT,#E1F477,225,244,119,"225, 244, 119"
166,Lime Green,#ADC238,173,194,56,"173, 194, 56"
167,Khaki Brown,#855D31,133,93,49,"133, 93, 49"
168,Silver Gray,#B1AEB7,177,174,183,"177, 174, 183"
169,Pewter Gray,#827D7D,130,125,125,"130, 125, 125"
208,Lavender - VY DK,#9442A7,148,66,167,"148, 66, 167"
209,Lavender - DK,#BA72C6,186,114,198,"186, 114, 198"
210,Lavender - MED,#D49FE1,212,159,225,"212, 159, 225"
211,Lavender - LT,#E5BDED,229,189,237,"229, 189, 237"
221,Shell Pink - VY DK,#792631,121,38,49,"121, 38, 49"
223,Shell Pink - LT,#BB6864,187,104,100,"187, 104, 100"
224,Shell Pink - VY LT,#E2A598,226,165,152,"226, 165, 152"
225,Shell Pink - ULT VY LT,#F8D9CD,248,217,205,"248, 217, 205"
300,Mahogany - VY DK,#6C3116,108,49,22,"108, 49, 22"
301,Mahogany - MED,#AA5237,170,82,55,"170, 82, 55"
304,Red - MED,#A10C39,161,12,57,"161, 12, 57"
307,Lemon,#FDE949,253,233,73,"253, 233, 73"
309,Rose - DK,#BA2044,186,32,68,"186, 32, 68"
310,Black,#000000,0,0,0,"0, 0, 0"
311,Blue - MED,#002A64,0,42,100,"0, 42, 100"
312,Baby Blue - VY DK,#1F3279,31,50,121,"31, 50, 121"
315,Antique Mauve - MED DK,#7D4246,125,66,70,"125, 66, 70"
316,Antique Mauve - MED,#BC757F,188,117,127,"188, 117, 127"
317,Pewter Gray,#6D6469,109,100,105,"109, 100, 105"
318,Steel Gray - LT,#999B9D,153,155,157,"153, 155, 157"
319,Pistachio Green - VY DK,#3A553B,58,85,59,"58, 85, 59"
320,Pistachio Green - MED,#608C59,96,140,89,"96, 140, 89"
321,Red,#BD1136,189,17,54,"189, 17, 54"
322,Baby Blue,#3A609D,58,96,157,"58, 96, 157"
326,Rose - VY DK,#AC1C37,172,28,55,"172, 28, 55"
327,Violet,#5E0F77,94,15,119,"94, 15, 119"
333,Blue Violet - VY DK,#6E2E9B,110,46,155,"110, 46, 155"
334,Baby Blue - MED,#6085B8,96,133,184,"96, 133, 184"
335,Rose,#D63D57,214,61,87,"214, 61, 87"
336,Blue,#0C275E,12,39,94,"12, 39, 94"
340,Blue Violet - MED,#996DC3,153,109,195,"153, 109, 195"
341,Blue Violet - LT,#A39AD7,163,154,215,"163, 154, 215"
347,Salmon - VY DK,#AB1B33,171,27,51,"171, 27, 51"
349,Coral - DK,#C62C38,198,44,56,"198, 44, 56"
350,Coral - MED,#DE3F40,222,63,64,"222, 63, 64"
351,Coral,#ED625B,237,98,91,"237, 98, 91"
352,Coral - LT,#F78372,247,131,114,"247, 131, 114"
353,Peach,#FDB4A1,253,180,161,"253, 180, 161"
355,Terra Cotta - DK,#97382B,151,56,43,"151, 56, 43"
356,Terra Cotta - MED,#BE5C4B,190,92,75,"190, 92, 75"
367,Pistachio Green - DK,#446B45,68,107,69,"68, 107, 69"
368,Pistachio Green - LT,#7FC66D,127,198,109,"127, 198, 109"
369,Pistachio Green - VY LT,#CDEFA6,205,239,166,"205, 239, 166"
370,Mustard - MED,#917245,145,114,69,"145, 114, 69"
371,Mustard,#9F8352,159,131,82,"159, 131, 82"
372,Mustard - LT,#AD9564,173,149,100,"173, 149, 100"
400,Mahogany - DK,#813718,129,55,24,"129, 55, 24"
402,Mahogany - VY LT,#EF9E74,239,158,116,"239, 158, 116"
407,Desert Sand - DK,#B77159,183,113,89,"183, 113, 89"
413,Pewter Gray - DK,#4A4749,74,71,73,"74, 71, 73"
